Dataset,TA (%),FA (%),RA (%),MIA (%),Runtime (ms),Privacy,ε
CIFAR10,10.01,0.0,11.12,46.67,2553859.9,0.9333,0.0001
CIFAR10,17.53,56.1,13.24,67.96,79632.83,0.3126,0.0005
CIFAR10,35.42,99.5,28.3,79.08,48370.75,0.0023,0.001
CIFAR10,83.0,39.8,87.81,46.69,40618.9,0.6246,0.005
CIFAR10,83.84,48.4,87.78,47.03,42763.37,0.5393,0.01
CIFAR10,83.57,45.7,87.78,47.01,45456.01,0.5672,0.05
CIFAR10,83.57,45.7,87.78,47.0,43435.73,0.5671,0.1
CIFAR100,61.26,31.0,61.57,75.24,130658.89,0.3452,0.0001
CIFAR100,61.26,31.0,61.57,75.24,124238.59,0.3452,0.0005
CIFAR100,61.26,31.0,61.57,75.24,128854.23,0.3452,0.001
CIFAR100,61.26,31.0,61.57,75.24,137133.59,0.3452,0.005
CIFAR100,61.26,31.0,61.57,75.24,126816.49,0.3452,0.01
CIFAR100,61.26,31.0,61.57,75.24,126338.98,0.3452,0.05
CIFAR100,61.26,31.0,61.57,75.24,127314.75,0.3452,0.1
