Dataset,Method,TA (%),FA (%),RA (%),MIA (%),Runtime (ms),Privacy
CIFAR10,Gradient-based Unlearning,83.57,45.7,87.78,47.0,40210.23,0.5671
CIFAR10,Hessian-guided Gradient Unlearning,83.84,48.4,87.78,47.03,43977.58,0.5393
CIFAR10,SISA Training,81.59,22.8,88.12,46.67,214435.39,0.8007
CIFAR10,Certified Data Removal,85.67,60.1,88.51,47.97,53456.46,0.4254
CIFAR10,SalUn,85.87,65.3,88.16,47.61,49960.17,0.3671
CIFAR10,SCRUB,85.46,59.3,88.37,47.4,42243.68,0.4287
CIFAR100,Gradient-based Unlearning,60.98,7.0,61.53,75.24,189663.59,0.4652
CIFAR100,Hessian-guided Gradient Unlearning,61.26,31.0,61.57,75.24,129845.3,0.3452
CIFAR100,SISA Training,59.68,14.0,60.14,75.24,1222796.22,0.4302
CIFAR100,Certified Data Removal,64.91,15.0,65.41,75.24,268307.85,0.4252
CIFAR100,SalUn,61.07,36.0,61.32,75.3,255030.89,0.3194
CIFAR100,SCRUB,61.4,25.0,61.77,75.24,191412.99,0.3752
